,Ejected,M1,M2,Name1,Name2,NameCM,P,Semi,Simulation,Type1,Type2,TypeCM,X,Y,Z,e
969,False,41.120594,45.6039352,5042.0,5031.0,17647.0,8775.22461,36.8546829,M8200,14.0,14.0,0.0,-0.0198047739,-0.21547330899999997,0.456084967,0.174999937
529,False,29.216510800000002,19.2828255,4821,4822,16951,4312.32031,18.9085884,M8214,14,14,0,0.657111645,-0.643824697,-0.277937412,0.09725617619999999
1534,False,49.8794441,33.875282299999995,4825,4835,16955,8247.37695,34.9531937,M8214,14,14,0,-35.1939201,32.768108399999996,-2.56358194,0.176582724
19,False,69.9296265,32.1593895,5157,5153,13346,19715.4395,66.7529602,M8349,14,14,-1,0.27181226,-0.12201248099999999,-0.16609443699999998,0.550790608
1110,False,18.735654800000002,18.376380899999997,5131,5132,18065,12391.1514,34.95579910000001,M8349,14,14,0,0.505779207,0.048250813,0.0888574719,0.5192858579999999
700,False,60.95304870000001,54.66123960000001,5307,5305,18595,16152.3662,60.921108200000006,M8352,14,14,0,0.273054719,0.022020477799999997,0.273622364,0.872590303
14,False,33.7057076,58.738868700000005,5445,5435,14139,37579.1562,99.28074649999999,M8475,14,14,-1,0.331347018,0.164363861,-0.0146684125,0.46923801299999995
718,False,69.2753677,47.52874370000001,5262,5263,18437,103852.625,211.367172,M8508,14,14,0,0.777950287,-0.11809746199999999,-0.44333028799999996,0.968143523
1847,True,32.5376167,54.63092420000001,5521.0,5531.0,19360.0,1727.2211899999998,12.4918013,M8542,14.0,14.0,0.0,31.8225594,0.959337175,-25.542510999999998,0.743407845
143,False,32.2904625,24.0742455,5519.0,5520.0,19358.0,17885.4023,51.3185959,M8542,14.0,14.0,0.0,-0.15864197900000002,-0.33849039700000005,-0.22402575600000002,0.9007400870000001
1896,True,59.318118999999996,52.3118515,5125.0,5131.0,17978.0,4067.3071299999997,24.010696399999997,M8563,14.0,14.0,0.0,-19.491106,-25.869175,-11.2772427,0.805681229
33,False,23.502496700000002,19.1699505,5117.0,5118.0,13297.0,48420.9648,90.85412600000001,M8563,14.0,14.0,-1.0,0.443795741,0.280547947,-0.438409269,0.390515655
103,False,33.271717100000004,58.662468000000004,5105.0,5121.0,13366.0,92915.0469,181.199188,M8563,14.0,14.0,-1.0,0.43484762299999996,0.127690136,-0.32764852,0.5781925920000001
866,False,44.7519875,39.834129299999994,5385,5377,18872,5762.65283,27.613483399999996,M8609,14,14,0,-0.16754645099999999,0.268989563,0.21018937199999999,0.772372305
0,False,96.7827988,92.84423829999999,5371,5375,13573,14445.0098,66.6886368,M8618,14,14,-1,-0.025922007900000002,-0.12496013199999999,0.00447269529,0.276649117
227,False,61.3945694,56.8071861,5293,5291,13743,610974.375,691.559937,M8644,14,14,-1,0.311419725,0.23960900300000001,0.394805074,0.154204726
681,False,47.86491779999999,37.6616325,5285,5303,18546,18051.2109,59.33501429999999,M8644,14,14,0,0.00100997183,0.355830252,-0.175881818,0.844300508
855,False,30.8682594,88.4552917,5445,5447,19082,3627.12305,22.7452183,M8803,14,14,0,-0.393497705,-0.0239712354,0.0982042328,0.5958009360000001
917,False,52.92632679999999,42.5453529,5249,5277,18447,20936.2715,67.9460602,M8931,14,14,0,0.295276165,-0.480718315,0.25299283899999997,0.8257130979999999
473,False,35.8052216,44.21592329999999,5328,5329,14278,2353578.0,1492.20056,M8943,14,14,-1,-0.33776515700000004,0.284378499,-0.230748713,0.298624754
518,False,57.960826899999994,41.7304688,5344,5343,14320,4471458.5,2462.96606,M8943,14,14,-1,-0.037095129500000004,-2.57551718,5.81456375,0.314864576
1578,False,63.477748899999995,37.133579299999994,5325,5317,18690,3097.4668,19.341638600000003,M8943,14,14,0,23.1532211,-10.9270906,-5.98982668,0.17566159399999998
587,False,31.858163800000003,46.9552994,5437,5433,19034,7659.47217,32.604126,M8967,14,14,0,-0.269745052,-0.0533724613,-0.0714520141,0.18592426199999998
648,False,54.678936,51.1001511,5707,5701,20019,69472.0625,156.41554299999999,M8981,14,14,0,-0.201299235,-0.20681670300000002,0.282580525,0.835616767
864,False,54.824588799999994,41.6488304,5719,5721,20031,6497.48926,31.254035899999998,M8981,14,14,0,-0.173128948,-0.254938781,0.354243398,0.864704788
951,False,17.9108658,19.5013695,5684,5683,19996,1297.25403,7.78564167,M8981,14,14,0,0.6253651379999999,-0.0593357384,0.0989324823,0.273552746
382,False,63.1529655,56.6248932,5631,5632,19721,10730.9102,46.9342346,M9155,14,14,0,-0.44984614799999995,0.30125853399999997,0.158287913,0.9561924340000001
1678,False,40.5328598,91.24520109999999,5312,5315,18629,6073.5376,33.1524315,M9237,14,14,0,10.176496499999999,5.52830935,6.9372859,0.904468775
267,False,49.7717552,60.796920799999995,5709,5705,20005,17121.1875,62.39835359999999,M9243,14,14,0,0.0216838568,-0.19712023399999998,0.119850419,0.838440835
57,True,36.0796394,35.7610016,5701.0,5702.0,15435.0,58412.207,122.48013300000001,M9300,14.0,14.0,-1.0,-1.4050777,-34.1606712,16.1080971,0.16927965
38,False,58.9657326,58.9651184,5691.0,5679.0,14728.0,47304.8672,125.531548,M9300,14.0,14.0,-1.0,0.072603859,-0.147926912,0.10525663199999999,0.7003673909999999
595,False,31.449585,53.8526802,5697.0,5587.0,15253.0,8088059.5,3471.27954,M9300,14.0,14.0,-1.0,0.20716469,0.253218234,-0.558102429,0.95036447
693,False,38.918766,35.6042328,5683.0,5673.0,15328.0,19508026.0,5968.22949,M9300,14.0,14.0,-1.0,0.08679388460000001,-0.277137339,-0.541935742,0.719470382
2176,True,13.778662699999998,21.572935100000002,6018.0,6017.0,21110.0,32621.2031,65.5756836,M9322,14.0,14.0,0.0,-0.45984852299999995,31.677681,20.2653027,0.8591350320000001
379,False,35.3857117,62.864227299999996,6031.0,6023.0,15697.0,333695.875,434.46136500000006,M9322,14.0,14.0,-1.0,0.184922814,0.33348146100000003,0.0731817037,0.7917345170000001
677,False,44.3294525,34.12945560000001,5615,5611,14836,5105070.0,2484.01978,M9369,14,14,-1,0.123336799,0.275614202,0.29584482300000003,0.25600168100000004
847,False,17.873785,53.4887123,5602,5609,19647,8507.48633,33.8296394,M9369,14,14,0,-0.141544834,0.306176871,-0.216271102,0.572220087
702,False,42.1140289,143.27938799999998,5767,5769,20206,93830.9062,230.42799399999998,M9620,14,14,0,0.296042472,-0.0059425109100000005,0.221513242,0.528171122
817,False,38.052963299999995,49.88463970000001,6099,6093,16209,521872064.0,56412.3359,M9680,14,14,-1,0.743468165,-0.533845305,0.34889820200000005,0.7363684770000001
827,False,62.1346016,25.4403286,6091,6079,21349,50950.4844,119.444275,M9680,14,14,0,0.727791011,-0.437832385,0.226556793,0.964155495
895,False,54.8641968,48.1541748,6085,6101,21343,22052.1523,72.1459656,M9680,14,14,0,-0.009417219090000001,-0.0148979053,-0.210654855,0.998506188
1963,True,33.338100399999995,57.658821100000004,5965.0,5982.0,20929.0,1882.8013899999999,13.422036199999999,M9802,14.0,14.0,0.0,24.558452600000003,30.0392799,0.492298365,0.5067048670000001
1819,True,18.0882282,84.613739,5968.0,5979.0,20932.0,3856.5759299999995,22.5389671,M9802,14.0,14.0,0.0,-49.3782616,6.82856035,22.6990032,0.528921127
481,False,37.042244000000004,42.8961754,5943.0,5961.0,15508.0,1796380.5,1245.82556,M9802,14.0,14.0,-1.0,0.192761347,0.36441895399999996,0.565971553,0.8499920959999999
37,False,48.9697609,62.5384293,6151,6145,15817,30147.9785,91.24608609999999,M9824,14,14,-1,0.0827764794,-0.27794542899999997,0.156877652,0.419917166
36,False,42.2764473,59.3949127,6255,6153,16109,34513.9648,96.8283691,M9859,14,14,-1,-0.535951555,-0.592779815,1.13035381,0.578739703
758,False,10.2467442,17.6283474,6229,6230,21896,13484.6094,33.6179199,M9865,14,14,0,0.174424723,-0.328382939,-0.12795889400000002,0.167225271
773,False,57.77335359999999,46.410099,6264,6265,21931,2803.51245,18.309412,M9865,14,14,0,-0.0031866421899999996,-0.342576861,0.262765229,0.707811058
